2026-08-21T21:49:15.378Z wrote 46 series; errors: gallup-confidence: Error: InvariantViolation: gallupHigherEd: only 6 years | gallup-media: Error: InvariantViolation: Gallup 1663 header: |% Great deal/Fair amount | nsduh: Error: InvariantViolation: NSDUH row Marijuana: expected 18 numbers, got 1
2026-08-21T21:49:54.112Z wrote 20 series; errors: none
2026-08-21T21:52:32.361Z wrote 1 series; errors: none
2026-08-21T21:57:59.925Z wrote 8 series; errors: nyfed: Error: InvariantViolation: NY Fed HHDC: no report xlsx linked on the page
2026-08-21T21:59:01.999Z wrote 2 series; errors: none
2026-08-21T22:02:57.152Z wrote 7 series; errors: none
2026-08-21T22:03:22.838Z wrote 66 series; errors: none
2026-08-21T22:16:04.064Z wrote 2 series; errors: none
2026-08-24T16:21:54.867Z wrote 68 series; errors: none
2026-08-31T20:21:01.514Z wrote 15 series; errors: none
2026-08-31T20:22:21.007Z wrote 22 series; errors: none
2026-09-10T20:21:00.516Z wrote 4 series; errors: gallup-dw: Error: InvariantViolation: gallupEconomicConfidence 2020-04: overlap mismatch -32 vs -33
2026-09-10T20:25:01.596Z wrote 0 series; errors: michigan-ics: Error: Unable to connect. Is the computer able to access the url? | gallup-dw: Error: Unable to connect. Is the computer able to access the url?
2026-09-10T20:25:10.670Z wrote 4 series; errors: gallup-dw: Error: InvariantViolation: gallupEconomicConfidence 2003-03-01: conflicting readings in one source
2026-09-10T20:25:41.501Z wrote 4 series; errors: gallup-dw: Error: InvariantViolation: gallupEconomicConfidence: only 28 overlap dates
2026-09-10T20:25:51.860Z wrote 5 series; errors: none
